name,pubCode,description,startDate,endDate
brd.detectionMethod,visual,visual,2012-01-01T00:00:00Z,NA
brd.detectionMethod,calling,calling,2012-01-01T00:00:00Z,NA
brd.detectionMethod,singing,singing,2012-01-01T00:00:00Z,NA
brd.detectionMethod,drumming,drumming,2012-01-01T00:00:00Z,NA
brd.detectionMethod,flyover,flyover,2012-01-01T00:00:00Z,NA
brd.detectionMethod,other aural (e.g. wing beats),other aural (e.g. wing beats),2012-01-01T00:00:00Z,NA
brd.detectionMethod,visual and singing,visual and singing,2012-01-01T00:00:00Z,NA
brd.detectionMethod,calling and singing,calling and singing,2012-01-01T00:00:00Z,NA
brd.detectionMethod,drumming and singing,drumming and singing,2012-01-01T00:00:00Z,NA
brd.detectionMethod,flyover and singing,flyover and singing,2012-01-01T00:00:00Z,NA
brd.detectionMethod,other aural and singing,other aural and singing,2012-01-01T00:00:00Z,NA
brd.detectionMethod,unknown,unknown,2012-01-01T00:00:00Z,NA
brd.evaluationMethod,startSeasonBirdQuiz,Quiz on bird ID given at start of sampling season,2012-01-01T00:00:00Z,NA
brd.evaluationMethod,midSeasonBirdQuiz,Quiz on bird ID given at midpoint of sampling season,2012-01-01T00:00:00Z,NA
brd.evaluationMethod,endSeasonBirdQuiz,Quiz on bird ID given at end of sampling season,2012-01-01T00:00:00Z,NA
brd.evaluationMethod,protocolQuiz,Quiz on protocol contents,2018-01-01T00:00:00Z,NA
brd.habitatCode,mixed deciduous/evergreen forest,mixed deciduous/evergreen forest,2012-01-01T00:00:00Z,NA
brd.habitatCode,evergreen forest,evergreen forest,2012-01-01T00:00:00Z,NA
brd.habitatCode,deciduous forest,deciduous forest,2012-01-01T00:00:00Z,NA
brd.habitatCode,grassland,grassland,2012-01-01T00:00:00Z,NA
brd.habitatCode,shrubland,shrubland,2012-01-01T00:00:00Z,NA
brd.habitatCode,riparian,riparian,2012-01-01T00:00:00Z,NA
brd.habitatCode,agriculture/rural,agriculture/rural,2012-01-01T00:00:00Z,NA
brd.habitatCode,barren,barren,2012-01-01T00:00:00Z,NA
brd.habitatCode,developed,developed,2012-01-01T00:00:00Z,NA
brd.habitatCode,wetland,wetland,2012-01-01T00:00:00Z,NA
brd.habitatCode,other,other,2012-01-01T00:00:00Z,NA
brd.institution,Rocky Mountain Bird Observatory,Rocky Mountain Bird Observatory,2012-01-01T00:00:00Z,NA
brd.institution,Conservation Management Institute at Virginia Tech University,Conservation Management Institute at Virginia Tech University,2012-01-01T00:00:00Z,NA
brd.institution,Massachusetts Audubon Society,Massachusetts Audubon Society,2012-01-01T00:00:00Z,NA
brd.institution,Bird Conservancy of the Rockies,Bird Conservancy of the Rockies,2012-01-01T00:00:00Z,NA
brd.institution,Kingfischer Consulting,Kingfischer Consulting,2012-01-01T00:00:00Z,NA
brd.institution,Klamath Bird Observatory,Klamath Bird Observatory,2012-01-01T00:00:00Z,NA
brd.institution,Point Blue Conservation Science,Point Blue Conservation Science,2012-01-01T00:00:00Z,NA
brd.institution,Smithsonian Conservation Biology Institution,Smithsonian Conservation Biology Institution,2012-01-01T00:00:00Z,NA
brd.institution,University of Wisconsin - Stevens Point,University of Wisconsin - Stevens Point,2012-01-01T00:00:00Z,NA
brd.institution,University of Hawaii Hilo,University of Hawaii Hilo,2012-01-01T00:00:00Z,NA
brd.institution,Unaffiliated,Unaffiliated,2012-01-01T00:00:00Z,NA
brd.institution,Other,Other,2012-01-01T00:00:00Z,NA
brd.institution,None,None,2012-01-01T00:00:00Z,NA
brd.institution,Pteravia LLC,Pteravia LLC,2018-01-01T00:00:00Z,NA
brd.institution,Regalis LLC,Regalis LLC,2018-01-01T00:00:00Z,NA
brd.pointID,A1,Point A1,2012-01-01T00:00:00Z,NA
brd.pointID,B1,Point B1,2012-01-01T00:00:00Z,NA
brd.pointID,C1,Point C1,2012-01-01T00:00:00Z,NA
brd.pointID,A2,Point A2,2012-01-01T00:00:00Z,NA
brd.pointID,B2,Point B2,2012-01-01T00:00:00Z,NA
brd.pointID,C2,Point C2,2012-01-01T00:00:00Z,NA
brd.pointID,A3,Point A3,2012-01-01T00:00:00Z,NA
brd.pointID,B3,Point B3,2012-01-01T00:00:00Z,NA
brd.pointID,C3,Point C3,2012-01-01T00:00:00Z,NA
brd.pointID,21,Point 21 (typical A1-C3 grid not possible),2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Private Property - Denied Permission,Private Property - Denied Permission,2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Private Property - No contact with landowner,Private Property - No contact with landowner,2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Terrain Unsafe (could not safely approach to within 25 m of point),Terrain Unsafe (could not safely approach to within 25 m of point),2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Can't cross River,Can't cross River,2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Snow pack impassible,Snow pack impassible,2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Running water near point - unable to Hear,Running water near point - unable to Hear,2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Weather (rain or wind),Weather (rain or wind),2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,"No GPS reception, cannot find point","No GPS reception, cannot find point",2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Ran out of Time (five hours past sunrise or noticeably decreased bird activity),Ran out of Time (five hours past sunrise or noticeably decreased bird activity),2012-01-01T00:00:00Z,NA
brd.samplingImpracticalRemarks,Other,Other,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vA,NEON.DOC.014041vA,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vB,NEON.DOC.014041vB,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vC,NEON.DOC.014041vC,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vD,NEON.DOC.014041vD,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vE,NEON.DOC.014041vE,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vF,NEON.DOC.014041vF,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vG,NEON.DOC.014041vG,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vH,NEON.DOC.014041vH,2012-01-01T00:00:00Z,NA
brd.samplingProtocolVersion,NEON.DOC.014041vJ,NEON.DOC.014041vJ,2012-01-01T00:00:00Z,NA
brd.sex,Male,Male,2012-01-01T00:00:00Z,NA
brd.sex,Female,Female,2012-01-01T00:00:00Z,NA
brd.sex,Unknown,Unknown,2012-01-01T00:00:00Z,NA
brd.sex,Juvenile,Juvenile,2012-01-01T00:00:00Z,NA
brd.visual,No,No,2012-01-01T00:00:00Z,NA
brd.visual,Yes,Yes,2012-01-01T00:00:00Z,NA
Native Status Codes,N,N,2012-01-01T00:00:00Z,NA
Native Status Codes,NQ,NQ,2012-01-01T00:00:00Z,NA
Native Status Codes,NI,NI,2012-01-01T00:00:00Z,NA
Native Status Codes,NIQ,NIQ,2012-01-01T00:00:00Z,NA
Native Status Codes,GP,GP,2012-01-01T00:00:00Z,NA
Native Status Codes,GPQ,GPQ,2012-01-01T00:00:00Z,NA
Native Status Codes,I,I,2012-01-01T00:00:00Z,NA
Native Status Codes,IQ,IQ,2012-01-01T00:00:00Z,NA
Native Status Codes,NQI,NQI,2012-01-01T00:00:00Z,NA
Native Status Codes,W,W,2012-01-01T00:00:00Z,NA
Native Status Codes,WQ,WQ,2012-01-01T00:00:00Z,NA
Native Status Codes,UNK,UNK,2012-01-01T00:00:00Z,NA
Native Status Codes,A,A,2012-01-01T00:00:00Z,NA
Native Status Codes,FEDERAL,FEDERAL,2012-01-01T00:00:00Z,NA
Native Status Codes,STATE,STATE,2012-01-01T00:00:00Z,NA
samplingImpractical,location dry,location dry,2012-01-01T00:00:00Z,NA
samplingImpractical,location frozen,location frozen,2012-01-01T00:00:00Z,NA
samplingImpractical,location snow covered,location snow covered,2012-01-01T00:00:00Z,NA
samplingImpractical,other,Sampling location inaccessible due to other ecological reason described in the remarks,2012-01-01T00:00:00Z,NA
samplingImpractical,shallow groundwater,shallow groundwater; depth of groundwater column less than 0.5 m,2012-01-01T00:00:00Z,NA
samplingImpractical,low yield groundwater,low yield groundwater well,2012-01-01T00:00:00Z,NA
samplingImpractical,high water velocity,high water velocity,2012-01-01T00:00:00Z,NA
samplingImpractical,staff gauge disturbed,staff gauge disturbed,2012-01-01T00:00:00Z,NA
samplingImpractical,staff gauge not installed,staff gauge not installed,2012-01-01T00:00:00Z,NA
samplingImpractical,OK,OK,2012-01-01T00:00:00Z,NA
samplingImpractical,coordinates not suitable,Maximum number of attempts made to sample within a subplot were unsuccessful,2012-01-01T00:00:00Z,NA
samplingImpractical,location flooded,location flooded,2012-01-01T00:00:00Z,NA
samplingImpractical,logistical,logistical,2012-01-01T00:00:00Z,NA
samplingImpractical,management,management,2012-01-01T00:00:00Z,NA
samplingImpractical,extreme weather,extreme weather,2012-01-01T00:00:00Z,NA
samplingImpractical,location burned,location burned,2012-01-01T00:00:00Z,NA
samplingImpractical,temperature low,temperature low,2012-01-01T00:00:00Z,NA
samplingImpractical,temperature high,temperature high,2012-01-01T00:00:00Z,NA
samplingImpractical,disturbance,samples not collected due to disturbance,2012-01-01T00:00:00Z,NA
samplingImpractical,too windy,too windy,2012-01-01T00:00:00Z,NA
samplingImpractical,horizon not present,horizon not present in the incubated soil sample,2012-01-01T00:00:00Z,NA
samplingImpractical,location wet,location too wet due to rain or dew,2012-01-01T00:00:00Z,NA
